Metropolitan/Micropolitan Statistical Area,County/County Equivalent,State Name,FIPS State Code,FIPS County Code
Micropolitan Statistical Area,Adams County,Indiana,18,001
Micropolitan Statistical Area,Defiance County,Ohio,39,039
Micropolitan Statistical Area,Val Verde County,Texas,48,465
Metropolitan Statistical Area,Flagler County,Florida,12,035
Metropolitan Statistical Area,Volusia County,Florida,12,127
Micropolitan Statistical Area,Luna County,New Mexico,35,029
Metropolitan Statistical Area,Adams County,Colorado,08,001
Metropolitan Statistical Area,Arapahoe County,Colorado,08,005
Metropolitan Statistical Area,Broomfield County,Colorado,08,014
Metropolitan Statistical Area,Clear Creek County,Colorado,08,019
Metropolitan Statistical Area,Denver County,Colorado,08,031
Metropolitan Statistical Area,Douglas County,Colorado,08,035
Metropolitan Statistical Area,Elbert County,Colorado,08,039
Metropolitan Statistical Area,Gilpin County,Colorado,08,047
Metropolitan Statistical Area,Jefferson County,Colorado,08,059
Metropolitan Statistical Area,Park County,Colorado,08,093
Micropolitan Statistical Area,Beauregard Parish,Louisiana,22,011
Metropolitan Statistical Area,Dallas County,Iowa,19,049
Metropolitan Statistical Area,Guthrie County,Iowa,19,077
Metropolitan Statistical Area,Jasper County,Iowa,19,099
Metropolitan Statistical Area,Madison County,Iowa,19,121
Metropolitan Statistical Area,Polk County,Iowa,19,153
Metropolitan Statistical Area,Warren County,Iowa,19,181
Metropolitan Statistical Area,Wayne County,Michigan,26,163
Metropolitan Statistical Area,Lapeer County,Michigan,26,087
Metropolitan Statistical Area,Livingston County,Michigan,26,093
Metropolitan Statistical Area,Macomb County,Michigan,26,099
Metropolitan Statistical Area,Oakland County,Michigan,26,125
Metropolitan Statistical Area,St. Clair County,Michigan,26,147
Micropolitan Statistical Area,Billings County,North Dakota,38,007
Micropolitan Statistical Area,Stark County,North Dakota,38,089
Micropolitan Statistical Area,Lee County,Illinois,17,103
Micropolitan Statistical Area,Ford County,Kansas,20,057
Metropolitan Statistical Area,Geneva County,Alabama,01,061
Metropolitan Statistical Area,Henry County,Alabama,01,067
Metropolitan Statistical Area,Houston County,Alabama,01,069
Micropolitan Statistical Area,Atkinson County,Georgia,13,003
Micropolitan Statistical Area,Coffee County,Georgia,13,069
Metropolitan Statistical Area,Kent County,Delaware,10,001
Micropolitan Statistical Area,Johnson County,Georgia,13,167
Micropolitan Statistical Area,Laurens County,Georgia,13,175
Micropolitan Statistical Area,Treutlen County,Georgia,13,283
Micropolitan Statistical Area,Clearfield County,Pennsylvania,42,033
Metropolitan Statistical Area,Dubuque County,Iowa,19,061
Metropolitan Statistical Area,Carlton County,Minnesota,27,017
Metropolitan Statistical Area,Lake County,Minnesota,27,075
Metropolitan Statistical Area,St. Louis County,Minnesota,27,137
Metropolitan Statistical Area,Douglas County,Wisconsin,55,031
Micropolitan Statistical Area,Moore County,Texas,48,341
Micropolitan Statistical Area,Stephens County,Oklahoma,40,137
Micropolitan Statistical Area,La Plata County,Colorado,08,067
Micropolitan Statistical Area,Bryan County,Oklahoma,40,013
Metropolitan Statistical Area,Chatham County,North Carolina,37,037
Metropolitan Statistical Area,Durham County,North Carolina,37,063
Metropolitan Statistical Area,Granville County,North Carolina,37,077
Metropolitan Statistical Area,Orange County,North Carolina,37,135
Metropolitan Statistical Area,Person County,North Carolina,37,145
Micropolitan Statistical Area,Dyer County,Tennessee,47,045
Micropolitan Statistical Area,Maverick County,Texas,48,323
Micropolitan Statistical Area,Talbot County,Maryland,24,041
Metropolitan Statistical Area,Monroe County,Pennsylvania,42,089
Metropolitan Statistical Area,Chippewa County,Wisconsin,55,017
Metropolitan Statistical Area,Eau Claire County,Wisconsin,55,035
Micropolitan Statistical Area,Eagle County,Colorado,08,037
Micropolitan Statistical Area,Effingham County,Illinois,17,049
Micropolitan Statistical Area,Wharton County,Texas,48,481
Metropolitan Statistical Area,Imperial County,California,06,025
Micropolitan Statistical Area,Union County,Arkansas,05,139
Micropolitan Statistical Area,Pasquotank County,North Carolina,37,139
Micropolitan Statistical Area,Perquimans County,North Carolina,37,143
Metropolitan Statistical Area,Hardin County,Kentucky,21,093
Metropolitan Statistical Area,Larue County,Kentucky,21,123
Metropolitan Statistical Area,Meade County,Kentucky,21,163
Micropolitan Statistical Area,Beckham County,Oklahoma,40,009
Metropolitan Statistical Area,Elkhart County,Indiana,18,039
Micropolitan Statistical Area,Randolph County,West Virginia,54,083
Micropolitan Statistical Area,Elko County,Nevada,32,007
Micropolitan Statistical Area,Eureka County,Nevada,32,011
Micropolitan Statistical Area,Kittitas County,Washington,53,037
Metropolitan Statistical Area,Chemung County,New York,36,015
Metropolitan Statistical Area,El Paso County,Texas,48,141
Metropolitan Statistical Area,Hudspeth County,Texas,48,229
Micropolitan Statistical Area,Chase County,Kansas,20,017
Micropolitan Statistical Area,Lyon County,Kansas,20,111
Metropolitan Statistical Area,Garfield County,Oklahoma,40,047
Micropolitan Statistical Area,Coffee County,Alabama,01,031
Metropolitan Statistical Area,Erie County,Pennsylvania,42,049
Micropolitan Statistical Area,Delta County,Michigan,26,041
Micropolitan Statistical Area,Rio Arriba County,New Mexico,35,039
Micropolitan Statistical Area,Barbour County,Alabama,01,005
Micropolitan Statistical Area,Quitman County,Georgia,13,239
Metropolitan Statistical Area,Lane County,Oregon,41,039
Micropolitan Statistical Area,Humboldt County,California,06,023
Micropolitan Statistical Area,Uinta County,Wyoming,56,041
Metropolitan Statistical Area,Posey County,Indiana,18,129
Metropolitan Statistical Area,Vanderburgh County,Indiana,18,163
Metropolitan Statistical Area,Warrick County,Indiana,18,173
Metropolitan Statistical Area,Henderson County,Kentucky,21,101
Metropolitan Statistical Area,Fairbanks North Star Borough,Alaska,02,090
Micropolitan Statistical Area,Jefferson County,Iowa,19,101
Micropolitan Statistical Area,Martin County,Minnesota,27,091
Micropolitan Statistical Area,Marion County,West Virginia,54,049
Micropolitan Statistical Area,Churchill County,Nevada,32,001
Metropolitan Statistical Area,Clay County,Minnesota,27,027
Metropolitan Statistical Area,Cass County,North Dakota,38,017
Micropolitan Statistical Area,Rice County,Minnesota,27,131
Micropolitan Statistical Area,St. Francois County,Missouri,29,187
Metropolitan Statistical Area,San Juan County,New Mexico,35,045
Metropolitan Statistical Area,Cumberland County,North Carolina,37,051
Metropolitan Statistical Area,Harnett County,North Carolina,37,085
Metropolitan Statistical Area,Hoke County,North Carolina,37,093
Metropolitan Statistical Area,Benton County,Arkansas,05,007
Metropolitan Statistical Area,Madison County,Arkansas,05,087
Metropolitan Statistical Area,Washington County,Arkansas,05,143
Micropolitan Statistical Area,Otter Tail County,Minnesota,27,111
Micropolitan Statistical Area,Lyon County,Nevada,32,019
Micropolitan Statistical Area,Hancock County,Ohio,39,063
Micropolitan Statistical Area,Ben Hill County,Georgia,13,017
Metropolitan Statistical Area,Coconino County,Arizona,04,005
Metropolitan Statistical Area,Genesee County,Michigan,26,049
Metropolitan Statistical Area,Darlington County,South Carolina,45,031
Metropolitan Statistical Area,Florence County,South Carolina,45,041
Metropolitan Statistical Area,Colbert County,Alabama,01,033
Metropolitan Statistical Area,Lauderdale County,Alabama,01,077
Metropolitan Statistical Area,Fond du Lac County,Wisconsin,55,039
Micropolitan Statistical Area,Rutherford County,North Carolina,37,161
Micropolitan Statistical Area,St. Francis County,Arkansas,05,123
Metropolitan Statistical Area,Larimer County,Colorado,08,069
Micropolitan Statistical Area,Webster County,Iowa,19,187
Micropolitan Statistical Area,Pulaski County,Missouri,29,169
Micropolitan Statistical Area,Hancock County,Illinois,17,067
Micropolitan Statistical Area,Lee County,Iowa,19,111
Micropolitan Statistical Area,Clark County,Missouri,29,045
Micropolitan Statistical Area,Morgan County,Colorado,08,087
Micropolitan Statistical Area,DeKalb County,Alabama,01,049
Micropolitan Statistical Area,Vernon Parish,Louisiana,22,115
Metropolitan Statistical Area,Crawford County,Arkansas,05,033
Metropolitan Statistical Area,Franklin County,Arkansas,05,047
Metropolitan Statistical Area,Sebastian County,Arkansas,05,131
Metropolitan Statistical Area,Sequoyah County,Oklahoma,40,135
Metropolitan Statistical Area,Allen County,Indiana,18,003
Metropolitan Statistical Area,Whitley County,Indiana,18,183
Micropolitan Statistical Area,Clinton County,Indiana,18,023
Micropolitan Statistical Area,Anderson County,Kentucky,21,005
Micropolitan Statistical Area,Franklin County,Kentucky,21,073
Micropolitan Statistical Area,Gillespie County,Texas,48,171
Micropolitan Statistical Area,Stephenson County,Illinois,17,177
Micropolitan Statistical Area,Dodge County,Nebraska,31,053
Micropolitan Statistical Area,Sandusky County,Ohio,39,143
Metropolitan Statistical Area,Fresno County,California,06,019
Metropolitan Statistical Area,Etowah County,Alabama,01,055
Micropolitan Statistical Area,Cherokee County,South Carolina,45,021
Metropolitan Statistical Area,Alachua County,Florida,12,001
Metropolitan Statistical Area,Gilchrist County,Florida,12,041
Metropolitan Statistical Area,Levy County,Florida,12,075
Metropolitan Statistical Area,Hall County,Georgia,13,139
Micropolitan Statistical Area,Cooke County,Texas,48,097
Micropolitan Statistical Area,Knox County,Illinois,17,095
Micropolitan Statistical Area,McKinley County,New Mexico,35,031
Micropolitan Statistical Area,Finney County,Kansas,20,055
Micropolitan Statistical Area,Kearny County,Kansas,20,093
Micropolitan Statistical Area,Douglas County,Nevada,32,005
Micropolitan Statistical Area,Georgetown County,South Carolina,45,043
Metropolitan Statistical Area,Adams County,Pennsylvania,42,001
Micropolitan Statistical Area,Campbell County,Wyoming,56,005
Micropolitan Statistical Area,Crook County,Wyoming,56,011
Micropolitan Statistical Area,Weston County,Wyoming,56,045
Micropolitan Statistical Area,Barren County,Kentucky,21,009
Micropolitan Statistical Area,Metcalfe County,Kentucky,21,169
Metropolitan Statistical Area,Warren County,New York,36,113
Metropolitan Statistical Area,Washington County,New York,36,115
Micropolitan Statistical Area,Garfield County,Colorado,08,045
Micropolitan Statistical Area,Pitkin County,Colorado,08,097
Micropolitan Statistical Area,Fulton County,New York,36,035
Metropolitan Statistical Area,Wayne County,North Carolina,37,191
Micropolitan Statistical Area,Hood County,Texas,48,221
Metropolitan Statistical Area,Polk County,Minnesota,27,119
Metropolitan Statistical Area,Grand Forks County,North Dakota,38,035
Metropolitan Statistical Area,Hall County,Nebraska,31,079
Metropolitan Statistical Area,Howard County,Nebraska,31,093
Metropolitan Statistical Area,Merrick County,Nebraska,31,121
Metropolitan Statistical Area,Mesa County,Colorado,08,077
Micropolitan Statistical Area,Itasca County,Minnesota,27,061
Metropolitan Statistical Area,Ionia County,Michigan,26,067
Metropolitan Statistical Area,Kent County,Michigan,26,081
Metropolitan Statistical Area,Montcalm County,Michigan,26,117
Metropolitan Statistical Area,Ottawa County,Michigan,26,139
Micropolitan Statistical Area,Cibola County,New Mexico,35,006
Metropolitan Statistical Area,Josephine County,Oregon,41,033
Micropolitan Statistical Area,Barton County,Kansas,20,009
Metropolitan Statistical Area,Cascade County,Montana,30,013
Metropolitan Statistical Area,Weld County,Colorado,08,123
Metropolitan Statistical Area,Brown County,Wisconsin,55,009
Metropolitan Statistical Area,Kewaunee County,Wisconsin,55,061
Metropolitan Statistical Area,Oconto County,Wisconsin,55,083
Micropolitan Statistical Area,Greene County,Tennessee,47,059
Metropolitan Statistical Area,Guilford County,North Carolina,37,081
Metropolitan Statistical Area,Randolph County,North Carolina,37,151
Metropolitan Statistical Area,Rockingham County,North Carolina,37,157
Micropolitan Statistical Area,Decatur County,Indiana,18,031
Micropolitan Statistical Area,Washington County,Mississippi,28,151
Metropolitan Statistical Area,Pitt County,North Carolina,37,147
Micropolitan Statistical Area,Darke County,Ohio,39,037
Metropolitan Statistical Area,Anderson County,South Carolina,45,007
Metropolitan Statistical Area,Greenville County,South Carolina,45,045
Metropolitan Statistical Area,Laurens County,South Carolina,45,059
Metropolitan Statistical Area,Pickens County,South Carolina,45,077
Micropolitan Statistical Area,Carroll County,Mississippi,28,015
Micropolitan Statistical Area,Leflore County,Mississippi,28,083
Micropolitan Statistical Area,Greenwood County,South Carolina,45,047
Micropolitan Statistical Area,Grenada County,Mississippi,28,043
Metropolitan Statistical Area,Arroyo Municipio,Puerto Rico,72,015
Metropolitan Statistical Area,Guayama Municipio,Puerto Rico,72,057
Metropolitan Statistical Area,Patillas Municipio,Puerto Rico,72,109
Metropolitan Statistical Area,Hancock County,Mississippi,28,045
Metropolitan Statistical Area,Harrison County,Mississippi,28,047
Metropolitan Statistical Area,Jackson County,Mississippi,28,059
Metropolitan Statistical Area,Stone County,Mississippi,28,131
Micropolitan Statistical Area,Texas County,Oklahoma,40,139
Metropolitan Statistical Area,Washington County,Maryland,24,043
Metropolitan Statistical Area,Berkeley County,West Virginia,54,003
Metropolitan Statistical Area,Morgan County,West Virginia,54,065
Micropolitan Statistical Area,Blaine County,Idaho,16,013
Micropolitan Statistical Area,Camas County,Idaho,16,025
Metropolitan Statistical Area,Tangipahoa Parish,Louisiana,22,105
Metropolitan Statistical Area,Kings County,California,06,031
Micropolitan Statistical Area,Marion County,Missouri,29,127
Micropolitan Statistical Area,Ralls County,Missouri,29,173
Metropolitan Statistical Area,Cumberland County,Pennsylvania,42,041
Metropolitan Statistical Area,Dauphin County,Pennsylvania,42,043
Metropolitan Statistical Area,Perry County,Pennsylvania,42,099
Micropolitan Statistical Area,Boone County,Arkansas,05,009
Micropolitan Statistical Area,Newton County,Arkansas,05,101
Metropolitan Statistical Area,Rockingham County,Virginia,51,165
Metropolitan Statistical Area,Harrisonburg city,Virginia,51,660
Metropolitan Statistical Area,Hartford County,Connecticut,09,003
Metropolitan Statistical Area,Middlesex County,Connecticut,09,007
Metropolitan Statistical Area,Tolland County,Connecticut,09,013
Micropolitan Statistical Area,Adams County,Nebraska,31,001
Metropolitan Statistical Area,Covington County,Mississippi,28,031
Metropolitan Statistical Area,Forrest County,Mississippi,28,035
Metropolitan Statistical Area,Lamar County,Mississippi,28,073
Metropolitan Statistical Area,Perry County,Mississippi,28,111
Micropolitan Statistical Area,Ellis County,Kansas,20,051
Micropolitan Statistical Area,Summit County,Utah,49,043
Micropolitan Statistical Area,Wasatch County,Utah,49,051
Micropolitan Statistical Area,Jefferson County,Montana,30,043
Micropolitan Statistical Area,Lewis and Clark County,Montana,30,049
Micropolitan Statistical Area,Phillips County,Arkansas,05,107
Micropolitan Statistical Area,Vance County,North Carolina,37,181
Micropolitan Statistical Area,Deaf Smith County,Texas,48,117
Micropolitan Statistical Area,Morrow County,Oregon,41,049
Micropolitan Statistical Area,Umatilla County,Oregon,41,059
Metropolitan Statistical Area,Alexander County,North Carolina,37,003
Metropolitan Statistical Area,Burke County,North Carolina,37,023
Metropolitan Statistical Area,Caldwell County,North Carolina,37,027
Metropolitan Statistical Area,Catawba County,North Carolina,37,035
Micropolitan Statistical Area,Hillsdale County,Michigan,26,059
Micropolitan Statistical Area,Hawaii County,Hawaii,15,001
Metropolitan Statistical Area,Beaufort County,South Carolina,45,013
Metropolitan Statistical Area,Jasper County,South Carolina,45,053
Metropolitan Statistical Area,Liberty County,Georgia,13,179
Metropolitan Statistical Area,Long County,Georgia,13,183
Micropolitan Statistical Area,Lea County,New Mexico,35,025
Micropolitan Statistical Area,Allegan County,Michigan,26,005
Metropolitan Statistical Area,Citrus County,Florida,12,017
Micropolitan Statistical Area,Hood River County,Oregon,41,027
Micropolitan Statistical Area,Hempstead County,Arkansas,05,057
Micropolitan Statistical Area,Nevada County,Arkansas,05,099
Metropolitan Statistical Area,Garland County,Arkansas,05,051
Micropolitan Statistical Area,Houghton County,Michigan,26,061
Micropolitan Statistical Area,Keweenaw County,Michigan,26,083
Metropolitan Statistical Area,Lafourche Parish,Louisiana,22,057
Metropolitan Statistical Area,Terrebonne Parish,Louisiana,22,109
Metropolitan Statistical Area,Austin County,Texas,48,015
Metropolitan Statistical Area,Brazoria County,Texas,48,039
Metropolitan Statistical Area,Chambers County,Texas,48,071
Metropolitan Statistical Area,Fort Bend County,Texas,48,157
Metropolitan Statistical Area,Galveston County,Texas,48,167
Metropolitan Statistical Area,Harris County,Texas,48,201
Metropolitan Statistical Area,Liberty County,Texas,48,291
Metropolitan Statistical Area,Montgomery County,Texas,48,339
Metropolitan Statistical Area,Waller County,Texas,48,473
Micropolitan Statistical Area,Columbia County,New York,36,021
Micropolitan Statistical Area,Huntingdon County,Pennsylvania,42,061
Micropolitan Statistical Area,Huntington County,Indiana,18,069
Metropolitan Statistical Area,Boyd County,Kentucky,21,019
Metropolitan Statistical Area,Carter County,Kentucky,21,043
Metropolitan Statistical Area,Greenup County,Kentucky,21,089
Metropolitan Statistical Area,Lawrence County,Ohio,39,087
Metropolitan Statistical Area,Cabell County,West Virginia,54,011
Metropolitan Statistical Area,Putnam County,West Virginia,54,079
Metropolitan Statistical Area,Wayne County,West Virginia,54,099
Metropolitan Statistical Area,Limestone County,Alabama,01,083
Metropolitan Statistical Area,Madison County,Alabama,01,089
Micropolitan Statistical Area,Walker County,Texas,48,471
Micropolitan Statistical Area,Beadle County,South Dakota,46,005
Micropolitan Statistical Area,Jerauld County,South Dakota,46,073
Micropolitan Statistical Area,Reno County,Kansas,20,155
Micropolitan Statistical Area,McLeod County,Minnesota,27,085
Metropolitan Statistical Area,Bonneville County,Idaho,16,019
Metropolitan Statistical Area,Butte County,Idaho,16,023
Metropolitan Statistical Area,Jefferson County,Idaho,16,051
Micropolitan Statistical Area,Indiana County,Pennsylvania,42,063
Metropolitan Statistical Area,Boone County,Indiana,18,011
Metropolitan Statistical Area,Brown County,Indiana,18,013
Metropolitan Statistical Area,Hamilton County,Indiana,18,057
Metropolitan Statistical Area,Hancock County,Indiana,18,059
Metropolitan Statistical Area,Hendricks County,Indiana,18,063
Metropolitan Statistical Area,Johnson County,Indiana,18,081
Metropolitan Statistical Area,Madison County,Indiana,18,095
Metropolitan Statistical Area,Marion County,Indiana,18,097
Metropolitan Statistical Area,Morgan County,Indiana,18,109
Metropolitan Statistical Area,Putnam County,Indiana,18,133
Metropolitan Statistical Area,Shelby County,Indiana,18,145
Micropolitan Statistical Area,Sunflower County,Mississippi,28,133
Metropolitan Statistical Area,Johnson County,Iowa,19,103
Metropolitan Statistical Area,Washington County,Iowa,19,183
Micropolitan Statistical Area,Dickinson County,Michigan,26,043
Micropolitan Statistical Area,Florence County,Wisconsin,55,037
Metropolitan Statistical Area,Tompkins County,New York,36,109
Metropolitan Statistical Area,Jackson County,Michigan,26,075
Metropolitan Statistical Area,Copiah County,Mississippi,28,029
Metropolitan Statistical Area,Hinds County,Mississippi,28,049
Metropolitan Statistical Area,Holmes County,Mississippi,28,051
Metropolitan Statistical Area,Madison County,Mississippi,28,089
Metropolitan Statistical Area,Rankin County,Mississippi,28,121
Metropolitan Statistical Area,Simpson County,Mississippi,28,127
Metropolitan Statistical Area,Yazoo County,Mississippi,28,163
Micropolitan Statistical Area,Jackson County,Ohio,39,079
Metropolitan Statistical Area,Chester County,Tennessee,47,023
Metropolitan Statistical Area,Crockett County,Tennessee,47,033
Metropolitan Statistical Area,Gibson County,Tennessee,47,053
Metropolitan Statistical Area,Madison County,Tennessee,47,113
Micropolitan Statistical Area,Teton County,Idaho,16,081
Micropolitan Statistical Area,Teton County,Wyoming,56,039
Metropolitan Statistical Area,Baker County,Florida,12,003
Metropolitan Statistical Area,Clay County,Florida,12,019
Metropolitan Statistical Area,Duval County,Florida,12,031
Metropolitan Statistical Area,Nassau County,Florida,12,089
Metropolitan Statistical Area,St. Johns County,Florida,12,109
Micropolitan Statistical Area,Morgan County,Illinois,17,137
Micropolitan Statistical Area,Scott County,Illinois,17,171
Metropolitan Statistical Area,Onslow County,North Carolina,37,133
Micropolitan Statistical Area,Cherokee County,Texas,48,073
Micropolitan Statistical Area,Stutsman County,North Dakota,38,093
Micropolitan Statistical Area,Chautauqua County,New York,36,013
Metropolitan Statistical Area,Rock County,Wisconsin,55,105
Micropolitan Statistical Area,Walker County,Alabama,01,127
Micropolitan Statistical Area,Dubois County,Indiana,18,037
Micropolitan Statistical Area,Pike County,Indiana,18,125
Micropolitan Statistical Area,Jayuya Municipio,Puerto Rico,72,073
Micropolitan Statistical Area,Jackson County,Georgia,13,157
Metropolitan Statistical Area,Callaway County,Missouri,29,027
Metropolitan Statistical Area,Cole County,Missouri,29,051
Metropolitan Statistical Area,Moniteau County,Missouri,29,135
Metropolitan Statistical Area,Osage County,Missouri,29,151
Micropolitan Statistical Area,Jefferson Davis Parish,Louisiana,22,053
Micropolitan Statistical Area,Wayne County,Georgia,13,305
Metropolitan Statistical Area,Carter County,Tennessee,47,019
Metropolitan Statistical Area,Unicoi County,Tennessee,47,171
Metropolitan Statistical Area,Washington County,Tennessee,47,179
Metropolitan Statistical Area,Cambria County,Pennsylvania,42,021
Metropolitan Statistical Area,Craighead County,Arkansas,05,031
Metropolitan Statistical Area,Poinsett County,Arkansas,05,111
Metropolitan Statistical Area,Jasper County,Missouri,29,097
Metropolitan Statistical Area,Newton County,Missouri,29,145
Micropolitan Statistical Area,Juneau City and Borough,Alaska,02,110
Metropolitan Statistical Area,Maui County,Hawaii,15,009
Metropolitan Statistical Area,Kalamazoo County,Michigan,26,077
Micropolitan Statistical Area,Flathead County,Montana,30,029
Metropolitan Statistical Area,Kankakee County,Illinois,17,091
Metropolitan Statistical Area,Johnson County,Kansas,20,091
Metropolitan Statistical Area,Leavenworth County,Kansas,20,103
Metropolitan Statistical Area,Linn County,Kansas,20,107
Metropolitan Statistical Area,Miami County,Kansas,20,121
Metropolitan Statistical Area,Wyandotte County,Kansas,20,209
Metropolitan Statistical Area,Bates County,Missouri,29,013
Metropolitan Statistical Area,Caldwell County,Missouri,29,025
Metropolitan Statistical Area,Cass County,Missouri,29,037
Metropolitan Statistical Area,Clay County,Missouri,29,047
Metropolitan Statistical Area,Clinton County,Missouri,29,049
Metropolitan Statistical Area,Jackson County,Missouri,29,095
Metropolitan Statistical Area,Lafayette County,Missouri,29,107
Metropolitan Statistical Area,Platte County,Missouri,29,165
Metropolitan Statistical Area,Ray County,Missouri,29,177
Micropolitan Statistical Area,Kauai County,Hawaii,15,007
Micropolitan Statistical Area,Buffalo County,Nebraska,31,019
Micropolitan Statistical Area,Kearney County,Nebraska,31,099
Micropolitan Statistical Area,Cheshire County,New Hampshire,33,005
Micropolitan Statistical Area,Noble County,Indiana,18,113
Micropolitan Statistical Area,Dunklin County,Missouri,29,069
Metropolitan Statistical Area,Benton County,Washington,53,005
Metropolitan Statistical Area,Franklin County,Washington,53,021
Micropolitan Statistical Area,Kerr County,Texas,48,265
Micropolitan Statistical Area,Ketchikan Gateway Borough,Alaska,02,130
Micropolitan Statistical Area,Monroe County,Florida,12,087
Micropolitan Statistical Area,Dare County,North Carolina,37,055
Metropolitan Statistical Area,Bell County,Texas,48,027
Metropolitan Statistical Area,Coryell County,Texas,48,099
Metropolitan Statistical Area,Lampasas County,Texas,48,281
Metropolitan Statistical Area,Hawkins County,Tennessee,47,073
Metropolitan Statistical Area,Sullivan County,Tennessee,47,163
Metropolitan Statistical Area,Scott County,Virginia,51,169
Metropolitan Statistical Area,Washington County,Virginia,51,191
Metropolitan Statistical Area,Bristol city,Virginia,51,520
Metropolitan Statistical Area,Ulster County,New York,36,111
Micropolitan Statistical Area,Kenedy County,Texas,48,261
Micropolitan Statistical Area,Kleberg County,Texas,48,273
Micropolitan Statistical Area,Lenoir County,North Carolina,37,107
Micropolitan Statistical Area,Adair County,Missouri,29,001
Micropolitan Statistical Area,Schuyler County,Missouri,29,197
Micropolitan Statistical Area,Klamath County,Oregon,41,035
Metropolitan Statistical Area,Anderson County,Tennessee,47,001
Metropolitan Statistical Area,Blount County,Tennessee,47,009
Metropolitan Statistical Area,Campbell County,Tennessee,47,013
Metropolitan Statistical Area,Knox County,Tennessee,47,093
Metropolitan Statistical Area,Loudon County,Tennessee,47,105
Metropolitan Statistical Area,Morgan County,Tennessee,47,129
Metropolitan Statistical Area,Roane County,Tennessee,47,145
Metropolitan Statistical Area,Union County,Tennessee,47,173
Metropolitan Statistical Area,Howard County,Indiana,18,067
Micropolitan Statistical Area,Belknap County,New Hampshire,33,001
Metropolitan Statistical Area,Houston County,Minnesota,27,055
Metropolitan Statistical Area,La Crosse County,Wisconsin,55,063
Metropolitan Statistical Area,Acadia Parish,Louisiana,22,001
Metropolitan Statistical Area,Iberia Parish,Louisiana,22,045
Metropolitan Statistical Area,Lafayette Parish,Louisiana,22,055
Metropolitan Statistical Area,St. Martin Parish,Louisiana,22,099
Metropolitan Statistical Area,Vermilion Parish,Louisiana,22,113
Metropolitan Statistical Area,Benton County,Indiana,18,007
Metropolitan Statistical Area,Carroll County,Indiana,18,015
Metropolitan Statistical Area,Tippecanoe County,Indiana,18,157
Metropolitan Statistical Area,Warren County,Indiana,18,171
Micropolitan Statistical Area,Union County,Oregon,41,061
Micropolitan Statistical Area,Chambers County,Alabama,01,017
Micropolitan Statistical Area,Troup County,Georgia,13,285
Metropolitan Statistical Area,Calcasieu Parish,Louisiana,22,019
Metropolitan Statistical Area,Cameron Parish,Louisiana,22,023
Micropolitan Statistical Area,Columbia County,Florida,12,023
Metropolitan Statistical Area,Mohave County,Arizona,04,015
Metropolitan Statistical Area,Polk County,Florida,12,105
Micropolitan Statistical Area,Dawson County,Texas,48,115
Metropolitan Statistical Area,Lancaster County,Pennsylvania,42,071
Metropolitan Statistical Area,Clinton County,Michigan,26,037
Metropolitan Statistical Area,Eaton County,Michigan,26,045
Metropolitan Statistical Area,Ingham County,Michigan,26,065
Metropolitan Statistical Area,Shiawassee County,Michigan,26,155
Micropolitan Statistical Area,Albany County,Wyoming,56,001
Metropolitan Statistical Area,Webb County,Texas,48,479
Metropolitan Statistical Area,Doña Ana County,New Mexico,35,013
Micropolitan Statistical Area,Mora County,New Mexico,35,033
Micropolitan Statistical Area,San Miguel County,New Mexico,35,047
Metropolitan Statistical Area,Clark County,Nevada,32,003
Micropolitan Statistical Area,Jasper County,Mississippi,28,061
Micropolitan Statistical Area,Jones County,Mississippi,28,067
Micropolitan Statistical Area,Scotland County,North Carolina,37,165
Metropolitan Statistical Area,Douglas County,Kansas,20,045
Micropolitan Statistical Area,Lawrence County,Tennessee,47,099
Metropolitan Statistical Area,Comanche County,Oklahoma,40,031
Metropolitan Statistical Area,Cotton County,Oklahoma,40,033
Micropolitan Statistical Area,Laclede County,Missouri,29,105
Micropolitan Statistical Area,Grafton County,New Hampshire,33,009
Micropolitan Statistical Area,Sullivan County,New Hampshire,33,019
Micropolitan Statistical Area,Orange County,Vermont,50,017
Micropolitan Statistical Area,Windsor County,Vermont,50,027
Metropolitan Statistical Area,Lebanon County,Pennsylvania,42,075
Micropolitan Statistical Area,Hockley County,Texas,48,219
Micropolitan Statistical Area,Union County,Pennsylvania,42,119
Micropolitan Statistical Area,Marshall County,Tennessee,47,117
Metropolitan Statistical Area,Nez Perce County,Idaho,16,069
Metropolitan Statistical Area,Asotin County,Washington,53,003
Metropolitan Statistical Area,Androscoggin County,Maine,23,001
Micropolitan Statistical Area,Mifflin County,Pennsylvania,42,087
Micropolitan Statistical Area,Dawson County,Nebraska,31,047
Micropolitan Statistical Area,Gosper County,Nebraska,31,073
Metropolitan Statistical Area,Bourbon County,Kentucky,21,017
Metropolitan Statistical Area,Clark County,Kentucky,21,049
Metropolitan Statistical Area,Fayette County,Kentucky,21,067
Metropolitan Statistical Area,Jessamine County,Kentucky,21,113
Metropolitan Statistical Area,Scott County,Kentucky,21,209
Metropolitan Statistical Area,Woodford County,Kentucky,21,239
Micropolitan Statistical Area,Seward County,Kansas,20,175
Metropolitan Statistical Area,Allen County,Ohio,39,003
Micropolitan Statistical Area,Logan County,Illinois,17,107
Metropolitan Statistical Area,Lancaster County,Nebraska,31,109
Metropolitan Statistical Area,Seward County,Nebraska,31,159
Metropolitan Statistical Area,Faulkner County,Arkansas,05,045
